timestamp,station_id,line_direction_cid,car1_congestion,car2_congestion,car3_congestion,car4_congestion,car5_congestion,car6_congestion
2025-07-14 21:22:24,BR11,2,3,2,2.0,2.0,0,0
2025-07-14 21:22:21,BR21,1,1,1,1.0,1.0,0,0
2025-07-14 21:21:47,BR04,2,1,1,1.0,1.0,0,0
2025-07-14 21:21:24,BR08,2,1,1,1.0,1.0,0,0
2025-07-14 21:21:23,BR19,2,1,1,1.0,1.0,0,0
2025-07-14 21:21:21,BR14,2,1,1,2.0,2.0,0,0
2025-07-14 21:21:11,BR16,2,2,2,2.0,1.0,0,0
2025-07-14 21:21:01,BR21,2,1,1,1.0,1.0,0,0
2025-07-14 21:20:58,BR09,1,2,2,3.0,2.0,0,0
2025-07-14 21:20:38,BR22,1,1,1,1.0,1.0,0,0
2025-07-14 21:20:19,BR10,2,3,1,2.0,2.0,0,0
2025-07-14 21:20:08,BR23,2,1,1,2.0,1.0,0,0
2025-07-14 21:19:42,BR03,2,1,1,1.0,1.0,0,0
2025-07-14 21:19:42,BR12,2,1,1,2.0,2.0,0,0
2025-07-14 21:19:39,BR18,2,1,1,2.0,1.0,0,0
2025-07-14 21:19:15,BR01,1,1,1,1.0,1.0,0,0
2025-07-14 21:19:13,BR10,1,2,1,2.0,2.0,0,0
2025-07-14 21:18:57,BR07,2,1,1,1.0,1.0,0,0
2025-07-14 21:18:48,BR23,1,1,1,1.0,1.0,0,0
2025-07-14 21:18:35,BR20,2,1,1,1.0,1.0,0,0
2025-07-14 21:18:24,BR09,2,2,1,1.0,2.0,0,0
2025-07-14 21:18:21,BR22,2,2,1,2.0,1.0,0,0
2025-07-14 21:27:12,BR17,2,1,1,2.0,2.0,0,0
2025-07-14 21:27:08,BR22,2,1,1,2.0,1.0,0,0
2025-07-14 21:26:59,BR08,1,2,2,2.0,2.0,0,0
2025-07-14 21:26:57,BR24,2,1,1,1.0,1.0,0,0
2025-07-14 21:26:51,BR13,2,2,2,2.0,2.0,0,0
2025-07-14 21:26:38,BR19,1,1,1,1.0,1.0,0,0
2025-07-14 21:26:36,BR06,1,3,2,2.0,1.0,0,0
2025-07-14 21:26:21,BR06,2,1,1,1.0,1.0,0,0
2025-07-14 21:26:04,BR19,2,2,1,1.0,1.0,0,0
2025-07-14 21:25:42,BR16,2,1,1,2.0,2.0,0,0
2025-07-14 21:25:39,BR02,1,1,1,1.0,2.0,0,0
2025-07-14 21:25:26,BR09,1,2,2,3.0,3.0,0,0
2025-07-14 21:25:26,BR21,2,1,1,1.0,1.0,0,0
2025-07-14 21:24:48,BR20,1,1,1,1.0,1.0,0,0
2025-07-14 21:24:34,BR23,2,1,1,1.0,1.0,0,0
2025-07-14 21:24:18,BR18,2,2,2,1.0,1.0,0,0
2025-07-14 21:24:16,BR23,1,1,1,1.0,1.0,0,0
2025-07-14 21:24:02,BR12,2,2,2,2.0,2.0,0,0
2025-07-14 21:23:57,BR05,2,1,1,1.0,1.0,0,0
2025-07-14 21:23:40,BR10,1,2,1,3.0,3.0,0,0
2025-07-14 21:32:15,BR15,2,1,2,2.0,1.0,0,0
2025-07-14 21:32:11,BR20,2,1,1,1.0,1.0,0,0
2025-07-14 21:31:49,BR22,2,1,1,1.0,1.0,0,0
2025-07-14 21:31:39,BR17,2,2,1,1.0,1.0,0,0
2025-07-14 21:31:38,BR13,2,2,2,1.0,3.0,0,0
